"Code","Name","Awaiting completion of assessment","Awaiting public funding","Awaiting further NHS non-acute care","Awaiting residential home placement or availability","Awaiting nursing home placement or availability","Awaiting care package in own home","Awaiting community equipment and adaptations","Patient or family choice","Disputes","Housing - Patients not covered by NHS and Community Care Act","Other","Total Delayed Transfers of Care","Period"
"E06000022","Bath & North East Somerset","5","1","36","3","4","61","0","4","0","9",NA,"123","December 2015"
"E06000028","Bournemouth","52","11","151","58","80","118","0","22","10","72",NA,"574","December 2015"
"E06000023","Bristol","608","4","221","242","238","389","45","61","0","31",NA,"1839","December 2015"
"E06000052","Cornwall","1027","29","722","168","373","1199","98","192","28","50",NA,"3886","December 2015"
"E10000008","Devon","426","242","1257","298","398","198","43","178","1","7",NA,"3048","December 2015"
"E10000009","Dorset","276","78","454","447","818","413","16","122","50","128",NA,"2802","December 2015"
"E10000013","Gloucestershire","292","0","351","65","164","334","26","14","0","27",NA,"1273","December 2015"
"E06000024","North Somerset","404","0","660","58","139","194","22","182","0","1",NA,"1660","December 2015"
"E06000026","Plymouth","326","79","274","29","135","7","12","139","4","18",NA,"1023","December 2015"
"E06000029","Poole","69","10","64","81","116","141","0","158","0","76",NA,"715","December 2015"
"E10000027","Somerset","162","71","755","273","298","438","26","121","48","30",NA,"2222","December 2015"
"E06000025","South Gloucestershire","177","0","41","125","141","132","13","80","0","16",NA,"725","December 2015"
"E06000030","Swindon","75","22","25","83","352","151","43","36","0","12",NA,"799","December 2015"
"E06000027","Torbay","85","14","61","45","5","47","0","6","0","28",NA,"291","December 2015"
"E06000054","Wiltshire","23","14","309","190","458","486","34","75","0","73",NA,"1662","December 2015"
"E08000025","Birmingham","611","132","631","674","723","303","96","228","64","12",NA,"3474","December 2015"
"E08000026","Coventry","365","7","384","37","207","409","16","130","0","10",NA,"1565","December 2015"
"E08000027","Dudley","491","45","92","31","2","98","21","181","0","7",NA,"968","December 2015"
"E06000019","Herefordshire","14","14","97","63","18","103","0","24","0","0",NA,"333","December 2015"
"E08000028","Sandwell","103","6","0","92","20","40","34","118","0","44",NA,"457","December 2015"
"E06000051","Shropshire","150","4","199","140","203","446","42","58","0","42",NA,"1284","December 2015"
"E08000029","Solihull","165","65","120","164","83","109","38","186","0","13",NA,"943","December 2015"
"E10000028","Staffordshire","880","177","643","92","146","759","86","355","19","33",NA,"3190","December 2015"
"E06000021","Stoke-On-Trent","47","70","402","66","14","112","17","178","0","51",NA,"957","December 2015"
"E06000020","Telford & Wrekin","69","0","65","32","137","26","19","9","0","10",NA,"367","December 2015"
"E08000030","Walsall","247","45","42","46","47","39","14","60","17","0",NA,"557","December 2015"
"E10000031","Warwickshire","216","65","104","365","457","688","21","137","0","31",NA,"2084","December 2015"
"E08000031","Wolverhampton","446","14","39","0","0","208","82","97","0","156",NA,"1042","December 2015"
"E10000034","Worcestershire","416","45","288","177","326","429","24","52","0","20",NA,"1777","December 2015"
"E08000016","Barnsley","1","0","16","0","48","0","0","4","0","0",NA,"69","December 2015"
"E08000032","Bradford","5","23","60","51","66","11","1","204","0","36",NA,"457","December 2015"
"E08000033","Calderdale","47","0","56","53","124","158","50","72","0","0",NA,"560","December 2015"
"E08000017","Doncaster","14","72","14","0","79","174","9","5","17","52",NA,"436","December 2015"
"E06000011","East Riding Of Yorkshire","139","1","17","46","110","50","21","75","1","0",NA,"460","December 2015"
"E06000010","Kingston Upon Hull","278","0","44","0","42","15","3","0","0","0",NA,"382","December 2015"
"E08000034","Kirklees","139","60","91","60","38","50","20","134","0","0",NA,"592","December 2015"
"E08000035","Leeds","380","38","285","135","355","256","16","844","42","36",NA,"2387","December 2015"
"E06000012","North East Lincolnshire","92","13","225","3","0","16","1","5","0","0",NA,"355","December 2015"
"E06000013","North Lincolnshire","28","33","84","33","10","47","12","49","0","11",NA,"307","December 2015"
"E10000023","North Yorkshire","105","91","189","186","106","256","54","244","0","39",NA,"1270","December 2015"
"E08000018","Rotherham","170","43","87","6","8","14","0","189","0","0",NA,"517","December 2015"
"E08000019","Sheffield","641","0","295","55","427","230","113","5","0","29",NA,"1795","December 2015"
"E08000036","Wakefield","36","6","403","31","151","31","52","375","0","29",NA,"1114","December 2015"
"E06000014","York","6","0","2","45","161","411","0","198","0","14",NA,"837","December 2015"
"-","England","34784","7232","31348","20108","31151","42215","3857","18862","1838","4050",NA,"195445","December 2016"
"E06000015","Derby","47","0","42","49","14","61","11","154","9","24",NA,"411","December 2016"
"E10000007","Derbyshire","391","125","226","192","311","538","31","438","6","55",NA,"2313","December 2016"
"E06000016","Leicester","345","166","175","73","118","49","11","30","0","31",NA,"998","December 2016"
"E10000018","Leicestershire","766","374","303","122","300","189","46","293","6","8",NA,"2407","December 2016"
"E10000019","Lincolnshire","301","71","637","340","242","833","94","194","39","193",NA,"2944","December 2016"
"E10000021","Northamptonshire","1071","117","1113","250","523","1419","48","664","0","96",NA,"5301","December 2016"
"E06000018","Nottingham","84","4","410","87","41","34","0","67","31","75",NA,"833","December 2016"
"E10000024","Nottinghamshire","434","31","458","120","40","179","61","208","21","17",NA,"1569","December 2016"
"E06000017","Rutland","7","11","15","0","0","15","2","1","0","0",NA,"51","December 2016"
"E06000055","Bedford","48","16","44","31","30","88","0","55","0","9",NA,"321","December 2016"
"E10000003","Cambridgeshire","539","68","592","346","544","1069","15","182","2","29",NA,"3386","December 2016"
"E06000056","Central Bedfordshire","50","9","103","59","21","92","0","95","0","0",NA,"429","December 2016"
"E10000012","Essex","698","464","629","975","408","903","134","549","39","182",NA,"4981","December 2016"
"E10000015","Hertfordshire","481","119","846","312","509","1211","178","472","26","32",NA,"4186","December 2016"
"E06000032","Luton","19","0","237","0","0","4","0","48","20","16",NA,"344","December 2016"
"E10000020","Norfolk","488","62","234","386","271","216","57","290","0","0",NA,"2004","December 2016"
"E06000031","Peterborough","288","43","43","27","48","202","34","57","0","21",NA,"763","December 2016"
"E06000033","Southend","102","38","67","105","0","75","4","40","0","0",NA,"431","December 2016"
"E10000029","Suffolk","264","31","501","438","346","1386","83","551","0","77",NA,"3677","December 2016"
"E06000034","Thurrock","16","7","102","4","35","87","4","0","0","0",NA,"255","December 2016"
"E09000002","Barking & Dagenham","57","31","37","9","76","4","14","42","0","0",NA,"270","December 2016"
"E09000003","Barnet","73","37","132","116","38","184","9","27","28","0",NA,"644","December 2016"
"E09000004","Bexley","43","31","13","56","104","34","0","33","0","0",NA,"314","December 2016"
"E09000005","Brent","96","39","142","102","116","167","42","144","5","40",NA,"893","December 2016"
"E09000006","Bromley","27","105","27","266","429","154","0","50","7","0",NA,"1065","December 2016"
"E09000007","Camden","14","17","125","39","79","14","21","49","0","0",NA,"358","December 2016"
"E09000008","Croydon","78","0","6","140","187","6","11","42","0","93",NA,"563","December 2016"
"E09000009","Ealing","256","93","120","174","239","78","19","5","74","31",NA,"1089","December 2016"
"E09000010","Enfield","70","62","83","179","40","52","38","50","15","17",NA,"606","December 2016"
"E09000011","Greenwich","56","87","44","142","91","7","2","73","0","4",NA,"506","December 2016"
"E09000012","Hackney","19","11","14","0","59","54","20","111","0","40",NA,"328","December 2016"
"E09000013","Hammersmith & Fulham","165","62","102","44","117","10","22","63","0","22",NA,"607","December 2016"
"E09000014","Haringey","69","64","123","67","14","24","35","17","0","0",NA,"413","December 2016"
"E09000015","Harrow","20","31","157","66","37","109","0","83","0","2",NA,"505","December 2016"
"E09000016","Havering","93","1","129","43","130","40","20","15","0","8",NA,"479","December 2016"
"E09000017","Hillingdon","29","0","23","130","225","66","0","146","62","96",NA,"777","December 2016"
"E09000018","Hounslow","124","35","29","77","71","7","9","35","0","0",NA,"387","December 2016"
"E09000019","Islington","33","34","165","80","54","23","18","42","0","0",NA,"449","December 2016"
"E09000020","Kensington & Chelsea","33","31","21","76","42","0","2","1","0","34",NA,"240","December 2016"
"E09000021","Kingston Upon Thames","24","5","217","75","60","15","8","28","16","33",NA,"481","December 2016"
"E09000022","Lambeth","68","0","82","82","60","20","23","161","0","67",NA,"563","December 2016"
"E09000023","Lewisham","168","26","78","58","59","2","0","2","0","5",NA,"398","December 2016"
"E09000024","Merton","22","17","58","31","200","64","4","1","0","31",NA,"428","December 2016"
"E09000025","Newham","33","16","67","12","20","32","0","37","0","3",NA,"220","December 2016"
"E09000026","Redbridge","30","7","48","13","43","4","8","56","0","0",NA,"209","December 2016"
"E09000027","Richmond Upon Thames","18","26","89","33","124","33","5","50","31","0",NA,"409","December 2016"
"E09000028","Southwark","51","25","75","11","185","52","45","94","7","59",NA,"604","December 2016"
"E09000029","Sutton","70","10","2","0","14","37","6","97","7","0",NA,"243","December 2016"
"E09000030","Tower Hamlets","103","30","48","23","8","19","43","85","10","67",NA,"436","December 2016"
"E09000031","Waltham Forest","42","31","71","76","64","36","10","44","0","1",NA,"375","December 2016"
"E09000032","Wandsworth","44","61","75","32","60","44","7","47","0","0",NA,"370","December 2016"
"E09000033","Westminster","88","0","105","65","109","0","22","16","31","4",NA,"440","December 2016"
"E06000005","Darlington","14","0","81","0","13","13","3","78","0","0",NA,"202","December 2016"
"E06000047","Durham","51","62","133","17","37","82","35","40","3","38",NA,"498","December 2016"
"E08000037","Gateshead","44","93","106","123","27","233","37","19","0","13",NA,"695","December 2016"
"E06000001","Hartlepool","146","37","31","93","160","12","4","155","7","0",NA,"645","December 2016"
"E06000002","Middlesbrough","98","5","63","42","61","34","6","37","0","0",NA,"346","December 2016"
"E08000021","Newcastle Upon Tyne","10","0","106","5","0","61","4","47","0","0",NA,"233","December 2016"
"E08000022","North Tyneside","32","0","30","0","0","127","0","24","0","2",NA,"215","December 2016"
"E06000057","Northumberland","31","0","201","0","69","11","0","30","0","0",NA,"342","December 2016"
"E06000003","Redcar & Cleveland","84","0","45","23","79","85","0","21","0","0",NA,"337","December 2016"
"E08000023","South Tyneside","117","48","85","6","17","87","7","68","0","0",NA,"435","December 2016"
"E06000004","Stockton On Tees","59","0","24","98","60","28","0","65","0","10",NA,"344","December 2016"
"E08000024","Sunderland","23","0","31","0","28","32","0","0","0","0",NA,"114","December 2016"
"E06000008","Blackburn With Darwen","187","7","9","0","39","28","0","122","31","18",NA,"441","December 2016"
"E06000009","Blackpool","94","2","65","15","74","58","12","36","0","38",NA,"394","December 2016"
"E08000001","Bolton","90","0","241","79","62","178","53","91","20","53",NA,"867","December 2016"
"E08000002","Bury","63","9","37","38","137","152","0","122","0","0",NA,"558","December 2016"
"E06000049","Cheshire East","309","148","217","162","279","386","36","38","2","0",NA,"1577","December 2016"
"E06000050","Cheshire West And Chester","91","42","170","109","512","286","16","42","0","0",NA,"1268","December 2016"
"E10000006","Cumbria","785","3","945","829","1463","1471","85","117","14","35",NA,"5747","December 2016"
"E06000006","Halton","0","0","245","7","117","72","3","183","0","1",NA,"628","December 2016"
"E08000011","Knowsley","0","0","132","31","31","35","13","122","0","0",NA,"364","December 2016"
"E10000017","Lancashire","649","340","438","611","1132","990","87","529","46","184",NA,"5006","December 2016"
"E08000012","Liverpool","232","34","424","95","66","289","11","418","89","46",NA,"1704","December 2016"
"E08000003","Manchester","522","6","101","214","370","531","43","48","40","117",NA,"1992","December 2016"
"E08000004","Oldham","59","4","47","0","203","0","0","17","0","0",NA,"330","December 2016"
"E08000005","Rochdale","79","0","92","31","95","0","9","3","0","0",NA,"309","December 2016"
"E08000006","Salford","147","31","180","0","6","307","31","0","0","0",NA,"702","December 2016"
"E08000014","Sefton","98","31","138","52","34","122","6","440","0","0",NA,"921","December 2016"
"E08000013","St Helens","1","0","115","42","0","25","1","109","0","31",NA,"324","December 2016"
"E08000007","Stockport","447","0","67","331","586","385","16","45","0","7",NA,"1884","December 2016"
"E08000008","Tameside","703","0","31","154","47","134","19","217","20","47",NA,"1372","December 2016"
"E08000009","Trafford","576","31","111","252","417","914","13","62","13","30",NA,"2419","December 2016"
"E06000007","Warrington","76","0","103","0","39","37","0","169","0","0",NA,"424","December 2016"
"E08000010","Wigan","84","31","50","44","227","100","0","47","0","46",NA,"629","December 2016"
"E08000015","Wirral","345","7","138","115","73","249","0","8","0","2",NA,"937","December 2016"
"E06000036","Bracknell Forest","109","12","17","10","137","83","0","0","12","0",NA,"380","December 2016"
"E06000043","Brighton & Hove","94","38","598","185","235","129","38","40","0","4",NA,"1361","December 2016"
"E10000002","Buckinghamshire","87","0","269","153","284","243","23","178","0","37",NA,"1274","December 2016"
"E10000011","East Sussex","171","0","818","227","359","849","86","603","85","25",NA,"3223","December 2016"
"E10000014","Hampshire","1612","222","525","904","1489","2503","159","288","96","85",NA,"7883","December 2016"
"E06000046","Isle of Wight","0","0","7","371","52","148","0","0","0","0",NA,"578","December 2016"
"E10000016","Kent","475","124","1130","397","1023","902","148","815","69","143",NA,"5226","December 2016"
"E06000035","Medway","264","0","64","108","346","72","0","282","22","133",NA,"1291","December 2016"
"E06000042","Milton Keynes","308","16","385","164","133","165","60","47","0","28",NA,"1306","December 2016"
"E10000025","Oxfordshire","385","0","994","194","387","1978","21","416","12","39",NA,"4426","December 2016"
"E06000044","Portsmouth","193","0","7","61","157","126","1","31","0","0",NA,"576","December 2016"
"E06000038","Reading","209","62","105","62","131","209","17","60","41","31",NA,"927","December 2016"
"E06000039","Slough","61","25","74","40","95","40","18","19","2","31",NA,"405","December 2016"
"E06000045","Southampton","229","42","97","77","420","533","17","131","16","31",NA,"1593","December 2016"
"E10000030","Surrey","906","360","326","103","557","352","10","480","73","50",NA,"3217","December 2016"
"E06000037","West Berkshire","39","33","74","35","80","278","5","22","0","0",NA,"566","December 2016"
"E10000032","West Sussex","498","166","674","495","775","561","67","173","63","50",NA,"3522","December 2016"
"E06000040","Windsor & Maidenhead","39","25","19","58","180","78","0","28","31","0",NA,"458","December 2016"
"E06000041","Wokingham","44","0","36","41","112","44","17","4","3","0",NA,"301","December 2016"
"E06000022","Bath & North East Somerset","40","9","29","119","51","60","8","78","0","4",NA,"398","December 2016"
"E06000028","Bournemouth","259","29","73","130","201","169","25","96","43","25",NA,"1050","December 2016"
"E06000023","Bristol","464","41","131","149","390","246","56","4","0","3",NA,"1484","December 2016"
"E06000052","Cornwall","841","82","972","342","328","1477","110","200","0","1",NA,"4353","December 2016"
"E10000008","Devon","1030","267","1172","803","309","1028","85","238","21","42",NA,"4995","December 2016"
"E10000009","Dorset","251","87","218","291","468","615","54","116","0","23",NA,"2123","December 2016"
"E10000013","Gloucestershire","1232","14","706","81","296","740","71","7","0","0",NA,"3147","December 2016"
"E06000024","North Somerset","64","0","45","95","99","121","12","1","0","0",NA,"437","December 2016"
"E06000026","Plymouth","1415","136","455","46","22","98","12","132","0","31",NA,"2347","December 2016"
"E06000029","Poole","37","29","69","106","169","206","8","230","0","30",NA,"884","December 2016"
"E10000027","Somerset","688","238","400","360","497","409","18","197","11","49",NA,"2867","December 2016"
"E06000025","South Gloucestershire","68","0","48","55","182","107","0","42","0","0",NA,"502","December 2016"
"E06000030","Swindon","151","10","45","80","167","67","19","14","31","8",NA,"592","December 2016"
"E06000027","Torbay","5","11","4","112","51","57","6","18","17","0",NA,"281","December 2016"
"E06000054","Wiltshire","86","1","317","340","510","715","59","172","0","42",NA,"2242","December 2016"
"E08000025","Birmingham","764","335","693","725","2233","502","113","283","123","89",NA,"5860","December 2016"
"E08000026","Coventry","615","30","720","114","111","340","12","42","0","0",NA,"1984","December 2016"
"E08000027","Dudley","278","0","46","0","25","159","81","228","0","38",NA,"855","December 2016"
"E06000019","Herefordshire","151","0","39","82","241","134","40","2","0","22",NA,"711","December 2016"
"E08000028","Sandwell","97","93","53","58","4","47","63","118","0","93",NA,"626","December 2016"
"E06000051","Shropshire","324","14","298","156","161","573","71","51","0","31",NA,"1679","December 2016"
"E08000029","Solihull","100","36","153","66","84","75","7","38","12","0",NA,"571","December 2016"
"E10000028","Staffordshire","829","83","419","280","255","902","101","280","3","128",NA,"3280","December 2016"
"E06000021","Stoke-On-Trent","109","88","237","69","16","487","2","276","0","81",NA,"1365","December 2016"
"E06000020","Telford & Wrekin","11","2","39","2","84","71","6","14","0","31",NA,"260","December 2016"
"E08000030","Walsall","228","26","53","31","117","121","0","129","27","8",NA,"740","December 2016"
"E10000031","Warwickshire","519","31","186","482","368","1016","5","92","18","16",NA,"2733","December 2016"
"E08000031","Wolverhampton","283","100","74","55","219","183","42","167","38","43",NA,"1204","December 2016"
"E10000034","Worcestershire","425","1","477","231","788","745","0","187","0","7",NA,"2861","December 2016"
"E08000016","Barnsley","11","5","177","12","105","20","1","11","31","0",NA,"373","December 2016"
"E08000032","Bradford","0","16","34","149","29","53","12","99","4","0",NA,"396","December 2016"
"E08000033","Calderdale","12","0","12","70","10","60","0","0","7","23",NA,"194","December 2016"
"E08000017","Doncaster","140","17","10","47","170","150","4","7","38","67",NA,"650","December 2016"
"E06000011","East Riding Of Yorkshire","130","17","94","97","81","149","5","227","0","35",NA,"835","December 2016"
"E06000010","Kingston Upon Hull","304","102","56","103","35","56","3","72","0","1",NA,"732","December 2016"
"E08000034","Kirklees","2","13","83","58","167","113","9","122","0","31",NA,"598","December 2016"
"E08000035","Leeds","469","96","423","81","271","123","50","768","100","11",NA,"2392","December 2016"
"E06000012","North East Lincolnshire","81","0","68","16","0","43","7","39","0","0",NA,"254","December 2016"
"E06000013","North Lincolnshire","58","2","81","0","14","77","1","43","0","0",NA,"276","December 2016"
"E10000023","North Yorkshire","351","120","50","219","371","593","28","265","0","12",NA,"2009","December 2016"
"E08000018","Rotherham","137","31","256","1","2","11","45","13","0","4",NA,"500","December 2016"
"E08000019","Sheffield","905","40","714","76","398","1925","77","9","11","44",NA,"4199","December 2016"
"E08000036","Wakefield","29","72","23","87","155","13","9","306","0","24",NA,"718","December 2016"
"E06000014","York","114","31","18","67","354","312","0","92","1","7",NA,"996","December 2016"
"-","England","18283","5375","24057","17450","21651","30868","3380","16374","1553","4930","1119","145040","December 2017"
"E06000015","Derby","0","15","155","16","23","5","25","107","6","20","0","372","December 2017"
"E10000007","Derbyshire","87","50","205","100","118","286","10","168","12","45","0","1081","December 2017"
"E06000016","Leicester","73","66","74","37","76","18","8","42","0","31","0","425","December 2017"
"E10000018","Leicestershire","281","248","112","160","315","203","6","169","0","0","0","1494","December 2017"
"E10000019","Lincolnshire","384","23","605","95","116","661","93","423","26","56","0","2482","December 2017"
"E10000021","Northamptonshire","811","27","282","507","741","965","39","183","0","79","0","3634","December 2017"
"E06000018","Nottingham","107","0","701","74","76","230","13","93","95","31","0","1420","December 2017"
"E10000024","Nottinghamshire","141","11","608","57","90","301","35","187","12","48","5","1495","December 2017"
"E06000017","Rutland","23","5","8","1","12","12","1","5","0","0","0","67","December 2017"
"E06000055","Bedford","1","3","33","33","14","70","2","9","0","45","0","210","December 2017"
"E10000003","Cambridgeshire","298","16","760","144","518","1236","8","136","0","3","0","3119","December 2017"
"E06000056","Central Bedfordshire","43","6","35","62","17","110","3","129","16","27","0","448","December 2017"
"E10000012","Essex","246","96","606","574","506","420","97","452","5","42","0","3044","December 2017"
"E10000015","Hertfordshire","307","149","603","375","265","787","159","505","3","170","0","3323","December 2017"
"E06000032","Luton","0","0","54","7","0","0","8","54","0","33","0","156","December 2017"
"E10000020","Norfolk","442","82","505","413","318","309","25","237","31","0","12","2374","December 2017"
"E06000031","Peterborough","162","79","104","28","54","119","11","25","0","5","0","587","December 2017"
"E06000033","Southend","31","58","114","97","31","41","2","22","31","10","0","437","December 2017"
"E10000029","Suffolk","232","7","241","407","176","826","33","131","31","0","167","2251","December 2017"
"E06000034","Thurrock","6","0","76","34","0","57","8","0","0","0","0","181","December 2017"
"E09000002","Barking & Dagenham","11","0","18","7","15","0","11","7","0","24","0","93","December 2017"
"E09000003","Barnet","70","55","89","18","91","26","26","120","28","22","0","545","December 2017"
"E09000004","Bexley","31","31","35","83","160","1","0","56","0","57","0","454","December 2017"
"E09000005","Brent","45","63","154","69","133","100","5","61","8","149","0","787","December 2017"
"E09000006","Bromley","89","62","57","179","134","44","7","7","0","31","0","610","December 2017"
"E09000007","Camden","39","53","156","255","101","60","11","99","0","0","0","774","December 2017"
"E09000008","Croydon","43","4","11","49","83","23","1","62","0","79","0","355","December 2017"
"E09000009","Ealing","12","128","115","100","220","60","45","68","47","0","52","847","December 2017"
"E09000010","Enfield","63","22","77","24","20","8","14","147","0","9","0","384","December 2017"
"E09000011","Greenwich","38","1","7","101","81","58","31","23","6","11","0","357","December 2017"
"E09000012","Hackney","41","13","73","34","106","112","35","70","0","11","0","495","December 2017"
"E09000013","Hammersmith & Fulham","0","15","61","7","54","0","0","45","9","0","41","232","December 2017"
"E09000014","Haringey","197","69","78","205","164","0","53","27","21","21","0","835","December 2017"
"E09000015","Harrow","0","38","113","76","65","9","0","14","0","31","33","379","December 2017"
"E09000016","Havering","23","16","135","0","77","0","29","51","21","0","0","352","December 2017"
"E09000017","Hillingdon","13","0","35","39","102","27","7","61","0","36","16","336","December 2017"
"E09000018","Hounslow","56","21","31","38","11","2","6","24","13","16","0","218","December 2017"
"E09000019","Islington","57","10","201","52","79","14","8","28","0","18","0","467","December 2017"
"E09000020","Kensington & Chelsea","12","14","43","22","112","41","8","54","0","115","0","421","December 2017"
"E09000021","Kingston Upon Thames","22","9","67","30","3","14","0","35","0","17","0","197","December 2017"
"E09000022","Lambeth","106","31","31","61","41","20","0","85","0","108","0","483","December 2017"
"E09000023","Lewisham","129","4","46","106","197","24","28","31","0","24","0","589","December 2017"
"E09000024","Merton","19","0","26","28","13","28","2","40","0","0","0","156","December 2017"
"E09000025","Newham","54","28","50","51","32","3","0","56","10","8","0","292","December 2017"
"E09000026","Redbridge","1","3","59","6","109","10","3","36","0","7","0","234","December 2017"
"E09000027","Richmond Upon Thames","34","12","56","91","42","43","2","50","0","0","0","330","December 2017"
"E09000028","Southwark","21","40","9","44","103","19","2","87","31","20","0","376","December 2017"
"E09000029","Sutton","15","2","20","0","7","72","0","48","0","0","0","164","December 2017"
"E09000030","Tower Hamlets","105","27","73","24","39","31","27","61","0","68","0","455","December 2017"
"E09000031","Waltham Forest","80","0","6","26","22","36","25","17","0","20","0","232","December 2017"
"E09000032","Wandsworth","62","0","50","41","68","113","15","61","0","4","0","414","December 2017"
"E09000033","Westminster","5","31","66","63","53","1","7","38","2","52","44","362","December 2017"
"E06000005","Darlington","0","0","58","6","14","42","3","2","0","3","0","128","December 2017"
"E06000047","Durham","43","0","61","42","30","52","31","55","0","34","0","348","December 2017"
"E08000037","Gateshead","0","0","95","30","16","32","9","60","0","0","0","242","December 2017"
"E06000001","Hartlepool","105","12","37","26","105","42","5","49","0","0","0","381","December 2017"
"E06000002","Middlesbrough","78","31","64","36","25","63","4","6","0","0","0","307","December 2017"
"E08000021","Newcastle Upon Tyne","0","0","104","62","4","66","17","235","0","0","0","488","December 2017"
"E08000022","North Tyneside","0","0","75","14","0","52","14","108","0","0","0","263","December 2017"
"E06000057","Northumberland","8","0","97","31","0","97","15","43","0","9","0","300","December 2017"
"E06000003","Redcar & Cleveland","93","0","118","71","19","75","8","13","0","0","0","397","December 2017"
"E08000023","South Tyneside","12","32","62","0","6","31","7","33","4","9","0","196","December 2017"
"E06000004","Stockton On Tees","49","0","34","100","25","38","0","47","0","3","0","296","December 2017"
"E08000024","Sunderland","0","31","27","0","9","17","0","0","0","26","0","110","December 2017"
"E06000008","Blackburn With Darwen","151","0","9","0","0","22","12","52","0","0","0","246","December 2017"
"E06000009","Blackpool","167","14","27","4","79","65","9","70","0","31","0","466","December 2017"
"E08000001","Bolton","267","0","300","17","0","254","19","208","36","21","0","1122","December 2017"
"E08000002","Bury","99","54","99","38","241","122","7","58","0","211","31","960","December 2017"
"E06000049","Cheshire East","56","7","276","73","92","251","31","28","0","2","0","816","December 2017"
"E06000050","Cheshire West And Chester","55","6","121","68","113","237","1","38","0","4","31","674","December 2017"
"E10000006","Cumbria","832","7","435","161","572","901","91","47","0","55","0","3101","December 2017"
"E06000006","Halton","13","9","239","14","58","3","11","164","0","0","0","511","December 2017"
"E08000011","Knowsley","0","0","7","0","13","57","0","121","4","0","0","202","December 2017"
"E10000017","Lancashire","1097","207","532","650","413","501","51","359","36","57","0","3903","December 2017"
"E08000012","Liverpool","163","31","292","88","138","173","16","234","94","115","31","1375","December 2017"
"E08000003","Manchester","219","33","138","376","313","593","32","148","0","125","31","2008","December 2017"
"E08000004","Oldham","19","12","100","24","155","43","1","2","0","62","0","418","December 2017"
"E08000005","Rochdale","74","32","37","11","6","39","0","41","0","62","5","307","December 2017"
"E08000006","Salford","42","31","216","3","16","51","0","65","0","0","0","424","December 2017"
"E08000014","Sefton","58","0","165","38","111","197","14","478","21","93","0","1175","December 2017"
"E08000013","St Helens","0","0","25","2","16","1","0","63","0","31","0","138","December 2017"
"E08000007","Stockport","1","37","52","307","220","223","9","33","0","0","0","882","December 2017"
"E08000008","Tameside","41","41","21","106","307","81","0","244","0","46","0","887","December 2017"
"E08000009","Trafford","10","33","46","171","221","344","4","94","0","0","15","938","December 2017"
"E06000007","Warrington","75","13","25","133","145","301","0","165","0","0","0","857","December 2017"
"E08000010","Wigan","56","0","76","70","43","52","0","161","27","13","0","498","December 2017"
"E08000015","Wirral","35","0","70","26","59","231","0","21","18","0","0","460","December 2017"
"E06000036","Bracknell Forest","52","4","51","13","110","104","0","0","0","42","0","376","December 2017"
"E06000043","Brighton & Hove","55","35","191","131","278","125","6","16","0","6","0","843","December 2017"
"E10000002","Buckinghamshire","83","42","351","58","217","356","38","133","0","14","0","1292","December 2017"
"E10000011","East Sussex","181","61","307","78","176","241","9","269","15","19","0","1356","December 2017"
"E10000014","Hampshire","664","348","600","1191","1132","2446","263","385","69","171","0","7269","December 2017"
"E06000046","Isle of Wight","0","0","42","71","12","69","0","0","0","0","0","194","December 2017"
"E10000016","Kent","71","384","1188","501","808","397","200","666","36","150","24","4425","December 2017"
"E06000035","Medway","3","81","8","55","66","29","18","1","0","74","0","335","December 2017"
"E06000042","Milton Keynes","164","6","135","57","49","138","66","127","0","227","0","969","December 2017"
"E10000025","Oxfordshire","99","10","884","180","250","1290","8","407","17","104","0","3249","December 2017"
"E06000044","Portsmouth","49","3","1","74","200","156","9","123","0","0","21","636","December 2017"
"E06000038","Reading","32","0","156","31","119","128","0","0","27","0","0","493","December 2017"
"E06000039","Slough","111","0","49","0","13","14","7","10","0","11","0","215","December 2017"
"E06000045","Southampton","27","28","75","132","370","308","37","18","31","6","35","1067","December 2017"
"E10000030","Surrey","249","94","515","88","303","265","12","415","44","5","0","1990","December 2017"
"E06000037","West Berkshire","0","0","65","76","54","205","27","11","0","0","0","438","December 2017"
"E10000032","West Sussex","138","125","607","434","351","463","44","260","75","176","14","2687","December 2017"
"E06000040","Windsor & Maidenhead","38","24","64","0","35","70","32","64","33","0","0","360","December 2017"
"E06000041","Wokingham","0","10","84","41","61","80","0","0","0","0","0","276","December 2017"
"E06000022","Bath & North East Somerset","34","13","82","98","94","130","0","84","0","45","0","580","December 2017"
"E06000028","Bournemouth","107","3","30","42","65","143","6","58","0","67","0","521","December 2017"
"E06000023","Bristol","537","2","29","361","446","304","73","91","22","100","62","2027","December 2017"
"E06000052","Cornwall","575","17","562","480","382","1027","68","78","1","2","0","3192","December 2017"
"E10000008","Devon","71","38","403","529","196","874","15","49","8","68","0","2251","December 2017"
"E10000009","Dorset","269","74","225","242","383","553","27","138","7","88","31","2037","December 2017"
"E10000013","Gloucestershire","166","8","104","59","64","363","15","62","0","40","0","881","December 2017"
"E06000024","North Somerset","104","11","26","64","137","40","8","61","20","0","0","471","December 2017"
"E06000026","Plymouth","461","86","147","404","57","385","35","72","32","35","0","1714","December 2017"
"E06000029","Poole","23","31","24","17","126","14","0","86","0","12","31","364","December 2017"
"E10000027","Somerset","113","3","181","138","92","433","10","58","0","75","0","1103","December 2017"
